Geneid	0_R1	0_R2	5_R1	5_R2	10_R1	10_R2	15_R1	15_R2	Entity	Symbol	is_outlier	outlier_info
gene-PA1733	53	44	21	24	2	7	3	1	host	gene-PA1733	False	
gene-PA0836.1	12	10	3	3	0	2	1	2	host	gene-PA0836.1	False	
gene-PA3766	31	43	28	48	8	11	3	6	host	gene-PA3766	False	
gene-PA2032	71	78	22	46	12	14	9	4	host	gene-PA2032	False	
gene-PA3563	54	34	47	56	5	13	3	6	host	fruR	False	
gene-PA0458	38	49	38	46	7	11	4	7	host	gene-PA0458	False	
gene-PA5111	85	128	101	128	19	28	8	10	host	gloA3	False	
gene-PA2502	20	37	23	41	7	12	8	6	host	gene-PA2502	False	
gene-PA0225	77	52	22	35	3	6	2	4	host	gene-PA0225	False	
gene-PA0245	2	3	3	7	1	0	0	0	host	aroQ2	False	
gene-PA0198	5	8	5	3	0	4	1	0	host	exbB1	False	
gene-PA4858	11	13	6	18	5	5	6	3	host	gene-PA4858	False	
gene-PA0057	16	8	7	4	1	2	0	0	host	gene-PA0057	False	
gene-PA5226	101	65	44	57	11	16	1	7	host	gene-PA5226	False	
gene-PA2375	24	16	13	14	1	1	0	5	host	gene-PA2375	False	
gene-PA1682	25	57	46	67	4	12	6	4	host	gene-PA1682	False	
gene-PA1761	102	96	112	124	6	8	4	8	host	gene-PA1761	False	
gene-PA2598	9	15	2	11	2	1	0	0	host	gene-PA2598	False	
gene-PA3274	12	16	4	6	0	0	1	0	host	gene-PA3274	False	
gene-PA2836	5	8	4	5	1	0	0	0	host	gene-PA2836	False	
gene-PA4783	13	12	8	14	4	4	5	0	host	gene-PA4783	False	
gene-PA3772	7	7	3	8	1	3	0	1	host	gene-PA3772	False	
gene-PA0356	39	54	37	54	13	15	7	4	host	gene-PA0356	False	
gene-PA2606	25	20	18	13	3	5	3	5	host	gene-PA2606	False	
gene-PA2791	6	8	8	12	2	2	0	1	host	gene-PA2791	False	
gene-PA3400	32	47	20	51	2	11	5	0	host	gene-PA3400	False	
gene-PA2437	10	6	14	14	2	3	1	0	host	gene-PA2437	False	
gene-PA1419	48	16	57	17	3	5	1	2	host	gene-PA1419	False	
gene-PA4920	82	70	55	48	8	9	6	5	host	nadE	False	
gene-PA1799	17	14	8	12	6	6	3	4	host	parR	False	
gene-PA3126	21	26	9	12	5	7	5	4	host	ibpA	False	
gene-PA3535	36	37	26	56	4	8	3	4	host	gene-PA3535	False	
gene-PA2755	155	157	98	94	30	21	15	21	host	eco	False	
gene-PA4814	9	3	2	2	2	1	0	1	host	fadH2	False	
gene-PA1648	16	19	19	14	4	3	0	0	host	gene-PA1648	False	
gene-PA0786	3	3	1	3	0	1	3	0	host	gene-PA0786	False	
gene-PA5263	202	186	161	194	38	49	30	22	host	argH	False	
gene-PA4096	2	1	0	0	1	0	0	0	host	gene-PA4096	False	
gene-PA1044	24	32	13	19	4	2	3	3	host	gene-PA1044	False	
gene-PA1846	136	142	141	194	41	46	25	19	host	cti	False	
gene-PA0073	22	7	6	10	1	2	1	1	host	gene-PA0073	False	
gene-PA4443	78	111	64	112	8	11	19	7	host	cysD	False	
gene-PA0703	17	11	12	17	7	2	3	1	host	gene-PA0703	False	
gene-PPLUZ19_gp49	0	0	36	67	5	30	815	522	phage	gp49	False	
gene-PA0695	2	2	0	1	0	0	0	2	host	gene-PA0695	False	
gene-PA0273	5	3	0	3	0	1	0	0	host	gene-PA0273	False	
gene-PA2285	17	13	14	12	8	5	6	8	host	gene-PA2285	False	
gene-PA3944	35	20	13	21	2	0	1	0	host	gene-PA3944	False	
gene-PA1765	32	51	28	25	2	6	1	2	host	gene-PA1765	False	
gene-PA3153	98	264	135	293	15	37	9	7	host	wzx	False	
gene-PA4788	6	2	2	7	2	0	0	1	host	gene-PA4788	False	
gene-PA0100	229	235	124	277	29	38	20	13	host	gene-PA0100	False	
gene-PA2319	59	45	29	55	11	9	3	4	host	gene-PA2319	False	
gene-PA2877	39	28	12	15	0	4	2	2	host	gene-PA2877	False	
gene-PA1749	168	255	40	64	6	17	7	7	host	gene-PA1749	False	
gene-PA5166	97	89	46	64	15	15	7	4	host	gene-PA5166	False	
gene-PA3217	39	48	36	33	8	8	7	11	host	cyaB	False	
gene-PA1358	108	103	43	60	11	11	4	4	host	gene-PA1358	False	
gene-PA0339	36	27	18	15	4	3	3	0	host	gene-PA0339	False	
gene-PA0052	6	2	2	2	0	2	1	0	host	gene-PA0052	False	
gene-PA3086	150	100	53	86	15	17	3	6	host	gene-PA3086	False	
gene-PA1903	14	96	6	156	0	33	5	1	host	phzE2	False	
gene-PA2149	0	0	0	0	0	0	0	0	host	gene-PA2149	False	
gene-PA1968	38	45	23	29	7	7	1	2	host	gene-PA1968	False	
gene-PA2323	191	110	152	175	38	24	12	10	host	gene-PA2323	False	
gene-PA2862	36	30	23	22	7	3	2	3	host	lipA	False	
gene-PA0444	19	26	12	16	1	9	4	2	host	gene-PA0444	False	
gene-PA1780	3	5	0	3	1	1	1	2	host	nirD	False	
gene-PA0037	16	18	5	14	1	6	5	0	host	trpI	False	
gene-PA2004	69	86	100	105	21	17	10	6	host	gene-PA2004	False	
gene-PA0284	11	10	2	2	1	0	3	2	host	gene-PA0284	False	
gene-PA1796	62	60	89	113	22	17	12	8	host	folD	False	
gene-PA3751	125	142	153	195	28	13	5	6	host	purT	False	
gene-PA4629	19	20	22	41	14	21	8	7	host	gene-PA4629	False	
gene-PA2496	6	6	9	11	2	2	2	1	host	gene-PA2496	False	
gene-PA3628	137	150	113	151	36	29	14	3	host	gene-PA3628	False	
gene-PA4019	109	96	78	108	11	18	9	4	host	gene-PA4019	False	
gene-PA0817	109	87	53	107	13	11	5	3	host	gene-PA0817	False	
gene-PA1409	5	5	2	11	0	0	2	0	host	aphA	False	
gene-PA5518	97	104	97	124	14	35	12	9	host	gene-PA5518	False	
gene-PA2081	12	11	14	16	1	2	1	1	host	kynB	False	
gene-PA2042	168	255	208	364	39	35	20	19	host	gene-PA2042	False	
gene-PA1429	33	46	18	35	2	11	6	1	host	gene-PA1429	False	
gene-PA5355	26	29	8	10	4	2	7	0	host	glcD	False	
gene-PA2782	7	7	2	3	1	0	0	0	host	gene-PA2782	False	
gene-PA2987	79	66	64	90	13	17	9	5	host	gene-PA2987	False	
gene-PA3538	37	32	30	22	7	7	8	4	host	gene-PA3538	False	
gene-PA4109	44	37	20	31	5	9	3	5	host	ampR	False	
gene-PA3431	5	2	3	4	1	1	2	1	host	gene-PA3431	False	
gene-PA0605	45	55	62	74	6	15	3	4	host	gene-PA0605	False	
gene-PA1997	60	46	32	43	12	5	3	3	host	gene-PA1997	False	
gene-PA4835	31	27	12	22	6	4	0	1	host	gene-PA4835	False	
gene-PA3963a	12	7	2	6	3	1	0	0	host	gene-PA3963a	False	
gene-PA2906	105	85	37	51	16	27	14	5	host	gene-PA2906	False	
gene-PA2921	18	15	4	6	1	1	0	2	host	gene-PA2921	False	
gene-PA4075	114	66	30	45	6	8	2	7	host	gene-PA4075	False	
gene-PA5391	6	5	3	1	5	3	0	3	host	gene-PA5391	False	
gene-PA1904	6	22	5	58	1	10	0	0	host	phzF2	False	
gene-PA0218	35	18	14	19	5	4	1	2	host	gene-PA0218	False	
gene-PA3502	6	12	5	12	1	3	1	0	host	gene-PA3502	False	
gene-PA2841	31	21	14	32	6	8	2	0	host	gene-PA2841	False	
gene-PA2356	2	1	3	3	0	0	1	0	host	msuD	False	
gene-PA2539	59	36	90	145	16	40	15	11	host	gene-PA2539	False	
gene-PA2852	92	53	26	31	11	9	2	4	host	gene-PA2852	False	
gene-PA4331	58	53	13	36	3	8	3	17	host	gene-PA4331	False	
gene-PA3961	164	125	81	128	20	18	13	10	host	gene-PA3961	False	
gene-PA4657	91	68	54	52	10	9	8	3	host	gene-PA4657	False	
gene-PA3429	15	2	3	12	2	0	1	1	host	gene-PA3429	False	
gene-PA1686	60	49	34	55	6	15	2	6	host	alkA	False	
gene-PA4701	213	215	129	171	40	43	29	25	host	gene-PA4701	False	
gene-PA0900	153	191	152	339	24	36	13	4	host	gene-PA0900	False	
gene-PA0657	295	216	78	95	25	24	26	11	host	gene-PA0657	False	
gene-PA1423	58	53	20	31	4	2	4	2	host	bdlA	False	
gene-PA5381	13	12	8	12	0	2	2	0	host	gene-PA5381	False	
gene-PA4760	81	116	58	66	20	18	11	10	host	dnaJ	False	
gene-PA0256	79	98	23	55	6	3	5	4	host	gene-PA0256	False	
gene-PA3947	32	29	13	20	3	10	1	1	host	rocR	False	
gene-PA1189	29	32	17	20	3	4	3	1	host	gene-PA1189	False	
gene-PA4381	117	140	42	88	19	14	13	11	host	gene-PA4381	False	
gene-PA0334	53	48	31	60	8	12	3	2	host	gene-PA0334	False	
gene-PA2123	23	22	13	24	4	5	2	1	host	gene-PA2123	False	
gene-PA3053	35	26	18	28	4	7	2	5	host	gene-PA3053	False	
gene-PA4337	11	12	9	11	3	5	1	1	host	gene-PA4337	False	
gene-PA1675	42	47	44	45	11	12	13	7	host	gene-PA1675	False	
gene-PA2066	16	15	8	14	1	3	1	3	host	gene-PA2066	False	
gene-PA0510	4	1	0	2	1	0	0	1	host	gene-PA0510	False	
gene-PA4091	23	32	24	22	3	4	3	3	host	hpaA	False	
gene-PA5290	64	59	31	60	21	16	6	6	host	gene-PA5290	False	
gene-PA4473	162	113	150	232	18	27	12	11	host	gene-PA4473	False	
gene-PA1546	162	158	79	152	23	23	27	12	host	hemN	False	
gene-PA1474	160	107	82	113	19	17	12	7	host	gene-PA1474	False	
gene-PA4616	50	57	139	161	17	28	13	6	host	gene-PA4616	False	
gene-PA1484	45	64	25	63	10	10	8	6	host	gene-PA1484	False	
gene-PA5500	85	59	27	42	14	7	6	7	host	znuC	False	
gene-PA5362	211	225	184	276	30	37	18	23	host	gene-PA5362	False	
gene-PA3237	8	10	5	5	0	0	1	2	host	gene-PA3237	False	
gene-PA3981	134	119	154	178	33	31	20	6	host	gene-PA3981	False	
gene-PA0279	17	13	6	8	1	3	1	1	host	gene-PA0279	False	
gene-PA3247	77	89	97	129	20	30	9	16	host	gene-PA3247	False	
gene-PA4181	15	7	4	5	0	1	1	0	host	gene-PA4181	False	
gene-PA4639	83	100	55	59	17	29	17	14	host	gene-PA4639	False	
gene-PA3008	87	130	100	183	34	37	13	13	host	gene-PA3008	False	
gene-PA1842	67	68	38	53	9	17	9	6	host	gene-PA1842	False	
gene-PA4818	4	5	0	9	1	2	2	0	host	gene-PA4818	False	
gene-PA2265	16	14	19	21	3	2	1	7	host	gene-PA2265	False	
gene-PA3927	12	17	8	3	1	1	0	0	host	gene-PA3927	False	
gene-PA3042	32	35	29	45	13	13	2	1	host	gene-PA3042	False	
gene-PA1715	303	117	233	162	40	25	5	18	host	pscB	False	
gene-PA0115	98	112	38	66	19	9	6	4	host	gene-PA0115	False	
gene-PA3907	30	64	30	78	14	14	11	6	host	gene-PA3907	False	
gene-PA5268	90	103	28	47	9	6	4	1	host	corA	False	
gene-PA2283	7	3	5	10	4	3	5	1	host	gene-PA2283	False	
gene-PA2505	19	16	4	15	4	3	0	1	host	opdT	False	
gene-PA1308	144	148	100	136	22	23	8	9	host	gene-PA1308	False	
gene-PA2026	45	35	46	103	7	7	4	2	host	gene-PA2026	False	
gene-PA2147	20	11	7	9	4	2	3	3	host	katE	False	
gene-PA1209	13	7	7	8	0	3	2	0	host	gene-PA1209	False	
gene-PA2378	222	238	88	158	14	19	11	3	host	gene-PA2378	False	
gene-PA5087	41	59	20	38	3	5	3	5	host	gene-PA5087	False	
gene-PA4647	117	159	126	175	43	43	29	22	host	uraA	False	
gene-PA0360	175	149	79	147	21	22	9	9	host	gene-PA0360	False	
gene-PA1065	52	53	34	35	6	7	3	2	host	gene-PA1065	False	
gene-PA4713	20	14	14	16	2	2	2	5	host	gene-PA4713	False	
gene-PA1892	3	4	7	6	1	1	0	1	host	gene-PA1892	False	
gene-PA3423	8	24	8	13	2	3	6	0	host	gene-PA3423	False	
gene-PA1639	113	105	61	91	25	24	10	5	host	gene-PA1639	False	
gene-PA3403	32	21	50	58	17	21	10	5	host	gene-PA3403	False	
gene-PA2179	7	3	1	2	2	1	0	0	host	gene-PA2179	False	
gene-PA2867	105	108	62	78	6	11	8	8	host	gene-PA2867	False	
gene-PA2665	18	14	5	6	1	2	1	0	host	gene-PA2665	False	
gene-PA5525	71	73	36	49	4	8	6	5	host	gene-PA5525	False	
gene-PA1575	15	12	21	31	6	2	2	0	host	gene-PA1575	False	
gene-PA2340	13	12	5	7	1	5	3	1	host	gene-PA2340	False	
gene-PA1504	17	25	13	22	4	3	2	0	host	gene-PA1504	False	
gene-PA1410	9	3	7	19	1	1	2	1	host	gene-PA1410	False	
gene-PA4398	101	110	60	85	8	15	7	3	host	gene-PA4398	False	
gene-PA4391	141	198	56	86	22	20	16	6	host	gene-PA4391	False	
gene-PA2339	20	11	7	5	1	2	2	1	host	gene-PA2339	False	
gene-PA3517	9	12	9	13	1	1	0	2	host	gene-PA3517	False	
gene-PA4399	122	63	55	63	8	13	4	6	host	gene-PA4399	False	
gene-PA2182	5	4	1	2	1	0	0	1	host	gene-PA2182	False	
gene-PA1971	66	45	30	44	7	4	4	1	host	braZ	False	
gene-PA1864	0	0	0	1	0	1	0	2	host	gene-PA1864	False	
gene-PA3739	59	55	43	48	17	20	4	3	host	gene-PA3739	False	
gene-PA2016	104	153	43	71	0	6	0	1	host	liuR	False	
gene-PA4925	38	45	15	29	8	8	2	4	host	gene-PA4925	False	
gene-PA1526	82	63	74	98	17	18	10	5	host	gene-PA1526	False	
gene-PA5291	78	89	75	109	13	14	12	2	host	gene-PA5291	False	
gene-PA4534	187	191	84	116	23	41	8	13	host	gene-PA4534	False	
gene-PA0981	12	18	13	18	3	5	5	1	host	gene-PA0981	False	
gene-PA4859	4	4	1	7	0	1	0	1	host	gene-PA4859	False	
gene-PA5471	40	45	32	41	11	14	11	8	host	gene-PA5471	False	
gene-PA3455	310	259	103	156	21	19	8	8	host	gene-PA3455	False	
gene-PA3255	145	133	88	100	20	19	11	9	host	gene-PA3255	False	
gene-PA0876	79	80	37	63	13	11	8	5	host	gene-PA0876	False	
gene-PA2650	12	10	11	9	3	2	0	3	host	gene-PA2650	False	
gene-PA4897	76	100	38	55	11	6	5	4	host	gene-PA4897	False	
gene-PA2193	3	18	2	13	1	3	6	1	host	hcnA	False	
gene-PA2749	39	25	8	24	3	6	2	2	host	endA	False	
gene-PA0417	16	11	15	19	3	9	4	2	host	chpE	False	
gene-PA5515	75	62	26	34	6	13	7	1	host	gene-PA5515	False	
gene-PA1953	16	10	2	5	1	0	1	1	host	gene-PA1953	False	
gene-PA3967	21	14	23	35	9	17	3	4	host	gene-PA3967	False	
gene-PA4198	39	43	24	29	10	6	6	2	host	gene-PA4198	False	
gene-PA2357	4	1	4	0	0	1	0	0	host	msuE	False	
gene-PA3467	9	10	5	10	2	0	2	2	host	gene-PA3467	False	
gene-PA2305	193	250	48	100	14	19	11	7	host	ambB	False	
gene-PA4010	86	59	37	75	11	20	6	3	host	gene-PA4010	False	
gene-PA4532	85	92	48	79	17	12	6	7	host	gene-PA4532	False	
gene-PA2253	2	4	2	4	0	1	2	0	host	ansA	False	
gene-PA0117	10	5	6	7	1	1	1	0	host	gene-PA0117	False	
gene-PA3135	31	26	14	24	3	6	3	2	host	gene-PA3135	False	
gene-PA5088	15	37	21	25	3	5	5	0	host	gene-PA5088	False	
gene-PA1966	65	29	18	20	13	3	1	4	host	gene-PA1966	False	
gene-PA4156	67	72	50	37	16	7	6	4	host	gene-PA4156	False	
gene-PA4891	10	4	5	3	1	3	0	2	host	ureE	False	
gene-PA3199	38	46	38	43	8	12	6	1	host	gene-PA3199	False	
gene-PA0949	104	64	71	86	26	10	15	11	host	wrbA	False	
gene-PA3316	38	32	15	35	8	8	6	2	host	gene-PA3316	False	
gene-PA0736a	7	10	6	5	2	0	1	0	host	gene-PA0736a	False	
gene-PA3549	5	1	0	3	0	4	2	2	host	algJ	False	
gene-PA2982	290	320	175	293	47	51	34	20	host	gene-PA2982	False	
gene-PA2712	44	32	21	33	11	8	1	2	host	gene-PA2712	False	
gene-PA4553	98	105	99	136	17	21	9	8	host	pilX	False	
gene-PA2677	17	15	12	12	3	3	2	3	host	gene-PA2677	False	
gene-PA0484	141	50	34	44	9	4	1	2	host	gene-PA0484	False	
gene-PA4904	5	7	4	8	2	0	1	0	host	vanA	False	
gene-PA0147	19	23	3	10	1	2	1	1	host	gene-PA0147	False	
gene-PA0206	8	15	5	8	6	3	3	0	host	gene-PA0206	False	
gene-PA1525	36	34	15	27	5	3	2	2	host	alkB2	False	
gene-PA4188	6	3	1	3	0	0	0	0	host	gene-PA4188	False	
gene-PA2596	9	7	6	8	1	1	1	2	host	gene-PA2596	False	
gene-PA4666	121	172	114	184	42	35	23	16	host	hemA	False	
gene-PA3232	81	41	106	144	6	4	2	0	host	gene-PA3232	False	
gene-PA2481	60	67	60	97	6	13	8	2	host	gene-PA2481	False	
gene-PA2550	98	70	233	252	25	12	3	10	host	gene-PA2550	False	
gene-PA4894	108	96	29	36	5	4	1	3	host	gene-PA4894	False	
gene-PA2185	6	3	4	3	1	1	0	1	host	katN	False	
gene-PA4844	10	23	16	26	6	6	5	1	host	gene-PA4844	False	
gene-PA5210	167	165	115	191	27	36	17	15	host	gene-PA5210	False	
gene-PA0878	0	2	1	2	0	0	0	1	host	gene-PA0878	False	
gene-PA4632	139	140	56	74	24	52	31	23	host	gene-PA4632	False	
gene-PA0674	36	27	24	23	2	3	2	2	host	vreA	False	
gene-PA0533	143	82	34	54	4	13	4	6	host	gene-PA0533	False	
gene-PA2574	27	25	17	26	2	2	2	1	host	alkB1	False	
gene-PA0724	14	30	15	12	1	3	2	5	host	gene-PA0724	False	
gene-PA3005	245	238	126	165	24	43	23	14	host	nagZ	False	
gene-PA5082	24	44	28	30	2	2	1	0	host	gene-PA5082	False	
gene-PA4599	11	8	5	10	3	9	2	5	host	mexC	False	
gene-PA2244	10	11	5	8	4	2	1	1	host	pslN	False	
gene-PPLUZ19_gp21	0	0	5	9	21395	28174	87765	80098	phage	gp21	False	
gene-PA1362	6	11	2	4	0	0	1	1	host	gene-PA1362	False	
gene-PA1558	7	11	7	9	3	4	1	0	host	gene-PA1558	False	
gene-PA3733a	14	16	8	9	0	8	3	0	host	gene-PA3733a	False	
gene-PA0479	17	11	8	7	1	2	0	1	host	gene-PA0479	False	
gene-PA1513	45	51	18	24	5	6	1	3	host	gene-PA1513	False	
gene-PA1908	21	11	17	25	1	2	2	1	host	gene-PA1908	False	
gene-PA1577	92	111	73	97	9	17	9	9	host	gene-PA1577	False	
gene-PA0118	6	7	2	2	2	0	1	0	host	gene-PA0118	False	
gene-PA4110	25	20	9	26	6	4	4	1	host	ampC	False	
gene-PA1263	22	13	8	6	3	1	1	0	host	gene-PA1263	False	
gene-PA5126	115	90	48	73	13	14	4	4	host	gene-PA5126	False	
gene-PA3457	24	20	12	29	6	8	5	2	host	gene-PA3457	False	
gene-PA3975	43	28	23	37	8	10	8	5	host	thiD	False	
gene-PA1202	44	52	36	29	15	13	4	3	host	gene-PA1202	False	
gene-PA1748	45	51	21	41	9	10	12	8	host	gene-PA1748	False	
gene-PA2327	38	26	11	23	2	2	2	0	host	gene-PA2327	False	
gene-PA2722	30	6	5	14	4	4	0	2	host	gene-PA2722	False	
gene-PA2031	4	16	3	7	0	2	2	1	host	gene-PA2031	False	
gene-PA3566	15	10	10	21	2	0	0	1	host	gene-PA3566	False	
gene-PA4665	190	222	177	316	37	57	27	25	host	prfA	False	
gene-PA4720	62	76	99	102	24	34	22	10	host	trmA	False	
gene-PA0719	10	6	10	4	8	5	9	7	host	gene-PA0719	False	
gene-PA2777	41	48	31	37	7	6	1	1	host	gene-PA2777	False	
gene-PA0836	34	25	22	26	6	3	5	5	host	ackA	False	
gene-PA2108	21	18	25	19	5	6	1	3	host	gene-PA2108	False	
gene-PA3600	13	13	18	15	2	2	0	1	host	gene-PA3600	False	
gene-PA4322	77	85	79	115	24	30	9	8	host	gene-PA4322	False	
gene-PA4475	267	172	150	202	27	27	9	8	host	gene-PA4475	False	
gene-PA4145a	44	21	15	37	1	3	3	2	host	gene-PA4145a	False	
gene-PA4823	0	0	0	0	0	1	1	0	host	gene-PA4823	False	
gene-PA1469	32	14	7	17	1	3	1	2	host	gene-PA1469	False	
gene-PA3536	95	73	36	61	16	26	12	8	host	gene-PA3536	False	
gene-PA2436	141	152	60	78	9	19	9	3	host	gene-PA2436	False	
gene-PA1265	0	2	0	0	0	0	0	2	host	gene-PA1265	False	
gene-PA0492	13	8	0	5	0	1	0	0	host	gene-PA0492	False	
gene-PA1855	2	2	5	2	1	1	0	0	host	gene-PA1855	False	
gene-PA2457	18	21	19	55	5	4	5	3	host	gene-PA2457	False	
gene-PA4172	3	2	3	2	0	1	0	0	host	gene-PA4172	False	
gene-PA3610	10	21	10	11	6	8	6	2	host	potD	False	
gene-PA4316	155	207	97	141	32	25	14	10	host	sbcB	False	
gene-PA2938	20	12	9	11	2	7	3	1	host	gene-PA2938	False	
gene-PA1424	28	16	11	19	2	4	4	0	host	gene-PA1424	False	
gene-PA0983	23	51	15	27	3	5	4	6	host	gene-PA0983	False	
gene-PA3196	62	65	99	195	8	17	5	6	host	gene-PA3196	False	
gene-PA0290	67	66	20	29	4	7	6	2	host	gene-PA0290	False	
gene-PA5007	119	134	105	200	21	21	8	4	host	gene-PA5007	False	
gene-PA2140	2	0	0	0	0	0	0	0	host	gene-PA2140	False	
gene-PA4376	63	49	37	48	12	14	7	4	host	pncB2	False	
gene-PA2842	49	57	33	60	5	12	10	5	host	gene-PA2842	False	
gene-PA2572	60	50	47	52	11	11	5	5	host	gene-PA2572	False	
gene-PA0069	24	19	13	28	7	7	6	3	host	gene-PA0069	False	
gene-PA4032	183	156	56	94	28	33	17	9	host	gene-PA4032	False	
gene-PA5522	125	107	91	137	23	22	7	5	host	gene-PA5522	False	
gene-PA0126	11	12	8	11	4	8	5	6	host	gene-PA0126	False	
gene-PA4975	68	52	32	78	8	10	2	3	host	gene-PA4975	False	
gene-PA2570.1	86	71	9	12	3	8	5	4	host	gene-PA2570.1	False	
gene-PA4879	118	88	48	69	11	19	5	5	host	gene-PA4879	False	
gene-PA2566	10	31	23	46	7	20	8	2	host	gene-PA2566	False	
gene-PA2459	73	207	100	281	19	41	6	5	host	gene-PA2459	False	
gene-PA1396	41	49	25	34	7	14	8	6	host	gene-PA1396	False	
gene-PA0881	1	3	0	1	0	0	0	1	host	gene-PA0881	False	
gene-PA0571	43	41	19	24	7	6	3	2	host	gene-PA0571	False	
gene-PA1192	82	126	120	176	37	37	28	16	host	gene-PA1192	False	
gene-PA2830	168	246	109	137	31	40	32	22	host	htpX	False	
gene-PA0959	150	127	77	88	10	26	12	10	host	gene-PA0959	False	
gene-PA1375	90	75	36	32	7	7	2	3	host	pdxB	False	
gene-PA3910	13	16	8	9	2	0	3	0	host	eddA	False	
gene-PA2417	39	23	20	26	3	3	2	0	host	gene-PA2417	False	
gene-PA0697	6	5	2	3	1	0	0	0	host	gene-PA0697	False	
gene-PA4495	294	245	158	186	47	40	16	14	host	gene-PA4495	False	
gene-PA0454	65	51	41	60	10	8	6	1	host	gene-PA0454	False	
gene-PA0751	28	28	41	42	7	11	4	2	host	gene-PA0751	False	
gene-PA3842	125	40	70	30	18	2	1	1	host	gene-PA3842	False	
gene-PA3680	63	59	33	49	12	5	4	3	host	gene-PA3680	False	
gene-PA3787	126	115	37	79	12	15	9	6	host	gene-PA3787	False	
gene-PA0915	4	6	8	15	16	12	5	1	host	gene-PA0915	False	
gene-PA3573	20	27	30	45	5	11	3	4	host	gene-PA3573	False	
gene-PA2708	30	27	10	10	3	7	2	1	host	gene-PA2708	False	
gene-PA2167	1	3	0	3	2	1	0	0	host	gene-PA2167	False	
gene-PA4973	85	67	63	111	18	15	7	4	host	thiC	False	
gene-PA4729	41	68	36	64	22	15	14	6	host	panB	False	
gene-PA4574	27	31	25	55	10	15	9	9	host	gene-PA4574	False	
gene-PA1702	68	10	22	7	9	2	0	3	host	gene-PA1702	False	
gene-PA0098	14	14	6	9	3	4	5	1	host	gene-PA0098	False	
gene-PA2183	9	8	3	2	0	2	1	0	host	gene-PA2183	False	
gene-PA4727	137	119	161	294	36	37	20	13	host	pcnB	False	
gene-PA2262	7	12	6	9	2	4	0	3	host	gene-PA2262	False	
gene-PA1318	51	49	29	34	13	12	16	21	host	cyoB	False	
gene-PA3883	12	11	4	6	0	2	0	1	host	gene-PA3883	False	
gene-PA1083	92	61	87	86	12	15	5	11	host	flgH	False	
gene-PA1730	24	20	14	28	5	5	4	0	host	gene-PA1730	False	
gene-PA1385	16	22	4	9	5	4	1	1	host	gene-PA1385	False	
gene-PA2768	10	13	16	23	0	3	2	5	host	gene-PA2768	False	
gene-PA0685	13	8	7	10	3	6	4	2	host	gene-PA0685	False	
gene-PA4986	20	24	11	25	0	4	6	4	host	gene-PA4986	False	
gene-PA3740	42	30	20	32	9	8	4	5	host	gene-PA3740	False	
gene-PA4036	65	39	22	31	6	12	5	2	host	gene-PA4036	False	
gene-PA3588	8	8	2	7	3	1	2	1	host	gene-PA3588	False	
gene-PA2602	14	15	8	6	0	1	1	2	host	gene-PA2602	False	
gene-PA0696	15	15	9	10	1	6	2	4	host	gene-PA0696	False	
gene-PA0028	59	88	26	50	4	10	2	3	host	gene-PA0028	False	
gene-PA3118	145	152	87	133	15	14	5	6	host	leuB	False	
gene-PA5280	42	44	22	37	5	15	3	3	host	sss	False	
gene-PA1118	59	62	43	53	4	18	8	4	host	gene-PA1118	False	
gene-PA4609	223	181	90	133	15	32	13	12	host	radA	False	
gene-PA2914	34	27	19	14	2	4	0	0	host	gene-PA2914	False	
gene-PA4083	5	2	0	1	1	0	0	0	host	cupB4	False	
gene-PA5158	10	18	14	9	4	4	2	1	host	gene-PA5158	False	
gene-PA4836	13	5	7	11	2	3	3	0	host	gene-PA4836	False	
gene-PA4100	16	12	7	7	2	1	3	1	host	gene-PA4100	False	
gene-PA2898	3	3	0	5	1	0	1	0	host	gene-PA2898	False	
gene-PA0102	99	119	108	161	46	67	32	7	host	gene-PA0102	False	
gene-PA3710	81	148	44	66	8	9	4	2	host	gene-PA3710	False	
gene-PA5032	9	10	1	5	0	0	0	1	host	gene-PA5032	False	
gene-PA0807	14	14	26	41	23	13	7	10	host	ampDh3	False	
gene-PA2038	16	29	20	35	2	8	4	1	host	gene-PA2038	False	
gene-PA3018	46	40	41	58	6	12	5	1	host	gene-PA3018	False	
gene-PA1911	153	75	7	16	1	4	1	0	host	femR	False	
gene-PA0975	129	159	192	298	28	33	27	13	host	gene-PA0975	False	
gene-PA1391	48	36	40	37	5	1	2	1	host	gene-PA1391	False	
gene-PA3359	33	49	21	27	4	5	0	0	host	gene-PA3359	False	
gene-PA0544	30	26	13	9	5	10	3	0	host	gene-PA0544	False	
gene-PA1489	20	11	5	8	2	2	0	0	host	gene-PA1489	False	
gene-PA5070	49	60	47	75	10	19	9	7	host	tatC	False	
gene-PA0014	9	8	7	11	2	4	1	1	host	gene-PA0014	False	
gene-PA1197	34	33	35	57	17	28	12	3	host	gene-PA1197	False	
gene-PA4292	83	187	128	226	50	64	31	24	host	gene-PA4292	False	
gene-PA4009	20	24	6	12	1	2	2	3	host	gene-PA4009	False	
gene-PA5412	102	121	40	63	15	14	16	8	host	gene-PA5412	False	
gene-PA4872	86	65	39	54	15	15	6	1	host	gene-PA4872	False	
gene-PA0737	4	8	2	2	3	1	0	2	host	gene-PA0737	False	
gene-PA0359	47	41	23	27	4	5	3	4	host	gene-PA0359	False	
gene-PA3133.1	15	49	35	75	22	25	16	13	host	gene-PA3133.1	False	
