Geneid	0_R1	0_R2	0_R3	5_R1	5_R2	5_R3	10_R1	10_R2	10_R3	15_R1	15_R2	15_R3	Entity	Symbol	is_outlier	outlier_info
gene-PA4738	223	139	30	124	128	81	29	41	8	22	6	49	host	gene-PA4738	False	
gene-PA4118	41	54	19	24	59	294	11	10	24	5	3	175	host	gene-PA4118	False	
gene-PA3277	75	56	62	66	88	125	7	9	19	3	5	79	host	gene-PA3277	False	
gene-PA3406	141	42	22	174	90	128	22	9	15	1	4	230	host	hasD	False	
gene-PA0130	54	31	83	47	64	468	7	8	56	5	7	467	host	gene-PA0130	False	
gene-PA1692	17	7	7	17	16	69	7	5	4	2	5	38	host	gene-PA1692	False	
gene-PA3642	173	129	48	190	297	162	37	35	15	22	13	196	host	rnhB	False	
gene-PA3332	4	25	41	1	28	106	0	9	14	1	0	99	host	gene-PA3332	False	
gene-PA3939	9	5	19	3	10	154	1	2	14	1	0	199	host	gene-PA3939	False	
gene-PA1424a	14	11	8	6	9	63	3	1	2	1	0	64	host	gene-PA1424a	False	
gene-PA3609	11	8	25	5	10	189	1	0	11	9	1	222	host	potC	False	
gene-PA2913	8	6	9	6	9	60	3	2	18	0	0	151	host	gene-PA2913	False	
gene-PA2823	221	223	55	110	148	124	24	17	31	15	10	125	host	gene-PA2823	False	
gene-PA1684	72	81	33	66	94	92	17	13	10	15	9	129	host	gene-PA1684	False	
gene-PA2832	154	91	32	41	45	112	6	9	17	2	4	109	host	tpm	False	
gene-PA1808	45	45	35	38	44	141	12	7	37	13	13	90	host	gene-PA1808	False	
gene-PA1463	258	256	71	177	259	109	29	23	8	9	14	140	host	gene-PA1463	False	
gene-PA1683	66	68	30	82	101	116	19	21	9	14	3	138	host	gene-PA1683	False	
gene-PA1411	12	15	23	12	20	118	4	8	17	1	2	144	host	gene-PA1411	False	
gene-PA5420	19	15	60	17	8	322	3	1	28	3	0	289	host	purU2	False	
gene-PA5371	102	78	29	55	74	148	23	33	14	15	10	132	host	gene-PA5371	False	
gene-PA3752	38	37	29	26	27	62	1	3	14	1	1	86	host	gene-PA3752	False	
gene-PA2571	155	136	56	53	95	201	16	12	42	9	1	113	host	gene-PA2571	False	
gene-PA2192	3	4	12	0	1	46	0	1	6	3	0	45	host	gene-PA2192	False	
gene-PA2931	31	16	12	9	10	94	1	5	4	5	2	121	host	cifR	False	
gene-PA1266	3	2	4	1	2	40	1	1	8	1	1	56	host	gene-PA1266	False	
gene-PA1219	2	3	10	2	2	44	1	0	8	1	1	92	host	gene-PA1219	False	
gene-PA2683	39	30	27	29	35	95	4	9	7	7	5	197	host	gene-PA2683	False	
gene-PA1172	11	13	22	30	39	120	4	8	13	4	2	93	host	napC	False	
gene-PA2848	2	0	20	2	3	124	4	0	9	2	0	170	host	gene-PA2848	False	
gene-PA3884	0	4	10	3	0	50	0	1	7	0	1	23	host	gene-PA3884	False	
gene-PA3184	119	125	49	120	342	164	21	38	20	23	24	142	host	gene-PA3184	False	
gene-PA4369	47	39	22	15	15	74	2	6	10	2	2	60	host	gene-PA4369	False	
gene-PA3289	28	18	7	17	26	61	3	1	7	3	1	133	host	gene-PA3289	False	
gene-PA1792	137	124	66	135	143	163	25	31	17	11	6	132	host	gene-PA1792	False	
gene-PA5551	118	112	65	54	94	150	10	23	34	6	9	159	host	gene-PA5551	False	
gene-PA1081	226	164	112	161	153	133	22	6	19	3	5	173	host	flgF	False	
gene-PA3132	15	12	21	3	6	83	1	3	18	1	2	127	host	gene-PA3132	False	
gene-PA3377	4	1	21	5	4	162	0	1	22	0	1	268	host	gene-PA3377	False	
gene-PA1299	89	66	14	12	50	110	9	9	3	2	3	79	host	gene-PA1299	False	
gene-PA0292	67	76	81	90	95	204	17	29	29	5	5	215	host	aguA	False	
gene-PA0990	25	18	18	6	16	161	4	5	19	2	2	132	host	gene-PA0990	False	
gene-PA1161	68	59	17	59	95	69	18	11	5	4	6	141	host	rrmA	False	
gene-PA4759	73	77	190	36	34	227	13	9	23	12	3	146	host	dapB	False	
gene-PA2711	21	14	43	18	27	217	1	1	28	0	3	221	host	gene-PA2711	False	
gene-PA3044	30	25	44	12	25	308	7	9	31	2	0	419	host	gene-PA3044	False	
gene-PA0063	48	30	31	16	26	138	5	7	15	4	3	177	host	gene-PA0063	False	
gene-PA1267	1	2	11	2	3	36	0	1	7	0	0	59	host	gene-PA1267	False	
gene-PA1183	21	22	25	208	330	237	15	15	27	5	4	213	host	dctA	False	
gene-PA0483	163	115	26	27	51	139	4	7	18	2	0	177	host	gene-PA0483	False	
gene-PA2112	137	15	4	169	109	35	30	17	3	3	3	51	host	gene-PA2112	False	
gene-PA3388	4	4	11	6	9	101	2	1	16	0	2	161	host	gene-PA3388	False	
gene-PA0289	26	37	25	13	15	172	1	3	41	2	1	247	host	gpuR	False	
gene-PA3076	35	34	16	24	49	123	7	9	12	4	7	139	host	gene-PA3076	False	
gene-PA4865	7	3	9	2	3	76	3	1	5	1	0	131	host	ureA	False	
gene-PA2770	239	180	35	97	125	113	32	25	11	19	11	120	host	gene-PA2770	False	
gene-PA0815	85	56	32	27	44	84	15	12	15	7	1	226	host	gene-PA0815	False	
gene-PA1926	104	131	66	183	244	317	47	49	28	21	13	171	host	gene-PA1926	False	
gene-PA3058	16	18	30	12	17	239	0	1	30	1	0	150	host	pelG	False	
gene-PA1796.4	14	24	28	23	47	372	12	9	62	6	2	108	host	gene-PA1796.4	False	
gene-PA1120	45	43	28	40	55	203	5	5	24	1	2	245	host	tpbB	False	
gene-PA2421	9	6	16	11	13	115	1	6	16	4	4	125	host	gene-PA2421	False	
gene-PA2546	35	24	19	12	24	104	4	4	19	2	3	162	host	gene-PA2546	False	
gene-PA0976	50	104	89	93	130	77	9	19	16	19	5	58	host	gene-PA0976	False	
gene-PA3380	1	0	6	1	1	39	0	0	5	0	0	77	host	gene-PA3380	False	
gene-PA2657	57	63	26	47	72	170	19	11	12	11	1	245	host	gene-PA2657	False	
gene-PA2751	26	17	25	7	20	105	8	3	11	4	1	61	host	gene-PA2751	False	
gene-PA3025	68	45	13	18	38	95	4	6	16	2	4	205	host	gene-PA3025	False	
gene-PA3308	70	93	100	117	164	485	50	66	63	25	12	339	host	gene-PA3308	False	
gene-PA4590	17	27	39	4	17	185	2	7	29	1	2	173	host	pra	False	
gene-PA0830	24	18	53	13	13	178	8	5	16	6	5	196	host	gene-PA0830	False	
gene-PA3972	97	86	214	57	83	212	10	14	19	3	6	401	host	gene-PA3972	False	
gene-PA1781	8	14	42	4	8	292	5	7	38	4	8	253	host	nirB	False	
gene-PA1669	45	54	107	38	71	401	8	16	40	12	2	379	host	gene-PA1669	False	
gene-PA3595	11	15	29	5	7	224	4	1	28	0	0	280	host	gene-PA3595	False	
gene-PA2005	140	107	48	124	202	150	18	17	14	8	7	235	host	gene-PA2005	False	
gene-PA1254	7	5	25	3	2	171	3	3	15	1	0	266	host	gene-PA1254	False	
gene-PA2151	7	12	25	9	12	224	2	0	25	1	2	312	host	gene-PA2151	False	
gene-PA2702	6	13	16	4	11	49	3	8	6	2	0	42	host	gene-PA2702	False	
gene-PA0684	0	0	9	1	1	46	0	0	5	1	0	132	host	gene-PA0684	False	
gene-PA1389	64	49	45	33	30	317	6	3	43	4	0	143	host	gene-PA1389	False	
gene-PA5445	266	231	53	151	281	318	30	38	36	5	9	334	host	gene-PA5445	False	
gene-PA4021	144	87	58	51	57	191	10	10	23	2	2	456	host	gene-PA4021	False	
gene-PA2890	9	8	12	6	4	33	0	4	8	0	0	53	host	atuE	False	
gene-PA0385	18	32	18	11	28	83	2	2	12	2	3	76	host	gene-PA0385	False	
gene-PA2328	11	14	7	1	12	108	2	1	5	1	1	177	host	gene-PA2328	False	
gene-PA2781	15	17	17	6	14	95	5	2	11	1	1	81	host	gene-PA2781	False	
gene-PA2075	21	9	31	9	7	153	2	1	26	0	0	172	host	gene-PA2075	False	
gene-PA1030.1	9	17	17	3	6	49	1	3	8	1	1	50	host	gene-PA1030.1	False	
gene-PA4810	17	12	27	17	29	134	5	7	8	4	3	133	host	fdnI	False	
gene-PA4900	3	1	17	7	8	122	1	0	25	0	0	163	host	gene-PA4900	False	
gene-PA2759	18	30	60	5	12	79	4	5	4	3	1	138	host	gene-PA2759	False	
gene-PA5484	112	122	57	119	154	350	13	15	42	6	7	514	host	gene-PA5484	False	
gene-PA1946	147	150	60	110	176	135	17	16	13	11	5	197	host	rbsB	False	
gene-PA1566	5	4	13	8	6	103	1	4	16	1	1	197	host	gene-PA1566	False	
gene-PA4781	154	77	26	33	38	129	7	8	19	3	1	204	host	gene-PA4781	False	
gene-PA3258	83	111	40	52	98	260	13	14	39	9	7	223	host	gene-PA3258	False	
gene-PA2196	19	16	21	3	13	76	1	5	10	3	1	71	host	gene-PA2196	False	
gene-PA2766	7	8	10	1	2	79	4	1	12	2	0	116	host	gene-PA2766	False	
gene-PA0188	5	3	24	2	6	214	3	5	17	0	0	344	host	gene-PA0188	False	
gene-PA2799	21	20	12	12	17	67	1	3	7	1	4	85	host	gene-PA2799	False	
gene-PA1405	60	38	25	15	17	160	5	2	16	4	2	341	host	gene-PA1405	False	
gene-PA4950	97	74	64	70	121	196	10	13	27	12	8	356	host	gene-PA4950	False	
gene-PA0567	43	46	27	22	33	92	4	3	11	6	2	30	host	gene-PA0567	False	
gene-PA3734	24	33	41	12	14	316	3	6	34	2	2	364	host	gene-PA3734	False	
gene-PA0882	7	7	14	5	7	113	0	2	11	0	1	271	host	gene-PA0882	False	
gene-PA5065	119	111	90	116	160	267	39	28	36	27	16	278	host	ubiB	False	
gene-PA3750	30	21	13	27	51	40	2	5	2	0	3	92	host	gene-PA3750	False	
gene-PA4170	29	35	23	15	22	156	0	0	19	2	0	136	host	gene-PA4170	False	
gene-PA3605	65	69	23	28	32	91	14	5	10	9	3	66	host	gene-PA3605	False	
gene-PA3705	95	75	30	61	85	103	12	13	14	9	7	104	host	wspD	False	
gene-PA4988	61	52	21	41	60	112	7	13	16	5	4	130	host	waaA	False	
gene-PA1476	72	91	17	44	69	61	6	19	7	8	5	117	host	ccmB	False	
gene-PA4447	101	151	65	101	173	230	37	44	32	19	15	170	host	hisC1	False	
gene-PA4757	99	99	60	131	169	220	44	35	23	25	17	212	host	gene-PA4757	False	
gene-PA3280	9	17	30	4	9	168	1	1	28	5	1	158	host	oprO	False	
gene-PA1051	26	21	31	73	98	215	27	21	20	6	6	393	host	gene-PA1051	False	
gene-PA2920	155	90	41	58	73	159	15	10	13	7	3	197	host	gene-PA2920	False	
gene-PA1499	5	4	22	5	2	165	1	1	18	2	2	334	host	gene-PA1499	False	
gene-PA3298	5	3	6	4	8	109	0	3	5	0	0	100	host	gene-PA3298	False	
gene-PA2490	3	7	8	8	10	61	3	6	3	5	1	77	host	gene-PA2490	False	
gene-PA3784	30	47	15	36	72	73	7	9	5	5	6	81	host	gene-PA3784	False	
gene-PPLUZ19_gp13	0	0	25	114	89	25971	42729	40120	14534	17883	14853	21214	phage	gp13	False	
gene-PA3586	28	11	16	8	14	161	8	3	12	4	4	345	host	gene-PA3586	False	
gene-PA0321	25	21	44	9	25	266	5	4	47	1	0	185	host	gene-PA0321	False	
gene-PA1019a	7	5	9	2	5	50	1	1	7	0	0	78	host	gene-PA1019a	False	
gene-PA4136	30	29	23	12	18	165	2	1	14	1	1	164	host	gene-PA4136	False	
gene-PA3361	13	30	24	6	23	96	0	4	9	3	2	60	host	lecB	False	
gene-PA1574	47	63	39	49	68	67	21	17	7	10	5	48	host	gene-PA1574	False	
gene-PA0965	302	298	86	232	348	216	57	62	16	34	12	108	host	ruvC	False	
gene-PA1257	3	9	15	5	4	147	3	1	8	1	2	131	host	gene-PA1257	False	
gene-PA2482	39	37	43	40	73	96	9	9	7	8	2	106	host	gene-PA2482	False	
gene-PA2388	48	68	23	22	40	113	8	9	19	4	4	102	host	fpvR	False	
gene-PA1186	6	10	9	4	4	109	2	6	9	3	0	194	host	gene-PA1186	False	
gene-PA1514	28	15	16	13	16	99	4	2	9	0	3	61	host	gene-PA1514	False	
gene-PA1110	34	27	19	12	17	78	10	5	10	3	2	226	host	gene-PA1110	False	
gene-PA0415	70	73	48	55	104	135	16	15	18	3	5	178	host	chpC	False	
gene-PA4372	105	113	47	74	93	187	5	10	34	3	0	325	host	gene-PA4372	False	
gene-PA4336	87	94	46	33	36	108	10	10	14	6	5	88	host	gene-PA4336	False	
gene-PA0080	15	16	28	11	20	144	7	4	13	4	3	187	host	gene-PA0080	False	
gene-PA4845	51	67	37	48	78	282	26	22	30	15	8	420	host	dipZ	False	
gene-PA1327	124	98	55	39	81	195	10	14	25	4	9	373	host	gene-PA1327	False	
gene-PA2099	12	9	12	3	9	76	4	2	10	0	0	91	host	gene-PA2099	False	
gene-PA3681	51	17	9	13	26	72	8	10	8	4	5	141	host	gene-PA3681	False	
gene-PA4992	43	32	77	40	54	236	12	13	16	9	6	292	host	gene-PA4992	False	
gene-PA3056	142	98	32	24	44	117	4	6	4	3	4	89	host	gene-PA3056	False	
gene-PA5008	102	148	54	93	175	192	30	31	11	10	8	182	host	gene-PA5008	False	
gene-PA1290	8	16	15	5	7	62	2	0	10	2	0	50	host	gene-PA1290	False	
gene-PA4436	35	45	36	14	27	244	7	6	30	5	4	358	host	gene-PA4436	False	
gene-PA1383	84	108	82	34	58	249	15	14	31	5	6	99	host	gene-PA1383	False	
gene-PA1490	9	2	25	6	3	108	0	1	24	0	0	205	host	gene-PA1490	False	
gene-PA4182	24	31	64	8	8	195	1	1	14	1	0	172	host	gene-PA4182	False	
gene-PA2812	61	57	48	48	53	197	17	7	26	7	5	197	host	gene-PA2812	False	
gene-PA1733	53	44	24	21	24	105	2	7	10	3	1	186	host	gene-PA1733	False	
gene-PA0836.1	12	10	80	3	3	37	0	2	3	1	2	20	host	gene-PA0836.1	False	
gene-PA3766	31	43	27	28	48	213	8	11	23	3	6	190	host	gene-PA3766	False	
gene-PA2032	71	78	19	22	46	168	12	14	12	9	4	197	host	gene-PA2032	False	
gene-PA3563	54	34	35	47	56	187	5	13	16	3	6	265	host	fruR	False	
gene-PA5111	85	128	70	101	128	209	19	28	23	8	10	166	host	gloA3	False	
gene-PA2502	20	37	15	23	41	159	7	12	9	8	6	325	host	gene-PA2502	False	
gene-PA0225	77	52	32	22	35	165	3	6	8	2	4	163	host	gene-PA0225	False	
gene-PA0245	2	3	18	3	7	109	1	0	8	0	0	176	host	aroQ2	False	
gene-PA0198	5	8	29	5	3	160	0	4	16	1	0	118	host	exbB1	False	
gene-PA4858	11	13	38	6	18	276	5	5	31	6	3	193	host	gene-PA4858	False	
gene-PA0057	16	8	21	7	4	211	1	2	23	0	0	512	host	gene-PA0057	False	
gene-PA5226	101	65	60	44	57	147	11	16	13	1	7	109	host	gene-PA5226	False	
gene-PA2375	24	16	5	13	14	52	1	1	2	0	5	57	host	gene-PA2375	False	
gene-PA1682	25	57	21	46	67	137	4	12	13	6	4	283	host	gene-PA1682	False	
gene-PA1761	102	96	32	112	124	52	6	8	4	4	8	18	host	gene-PA1761	False	
gene-PA2598	9	15	16	2	11	114	2	1	17	0	0	115	host	gene-PA2598	False	
gene-PA3274	12	16	9	4	6	37	0	0	4	1	0	38	host	gene-PA3274	False	
gene-PA2836	5	8	15	4	5	80	1	0	16	0	0	101	host	gene-PA2836	False	
gene-PA4783	13	12	22	8	14	155	4	4	25	5	0	188	host	gene-PA4783	False	
gene-PA3772	7	7	30	3	8	209	1	3	27	0	1	211	host	gene-PA3772	False	
gene-PA0356	39	54	34	37	54	160	13	15	18	7	4	150	host	gene-PA0356	False	
gene-PA2606	25	20	11	18	13	54	3	5	3	3	5	117	host	gene-PA2606	False	
gene-PA2791	6	8	19	8	12	64	2	2	13	0	1	28	host	gene-PA2791	False	
gene-PA3400	32	47	21	20	51	213	2	11	18	5	0	268	host	gene-PA3400	False	
gene-PA2437	10	6	7	14	14	46	2	3	2	1	0	35	host	gene-PA2437	False	
gene-PA1419	48	16	23	57	17	246	3	5	30	1	2	390	host	gene-PA1419	False	
gene-PA4920	82	70	118	55	48	247	8	9	21	6	5	403	host	nadE	False	
gene-PA1799	17	14	9	8	12	87	6	6	16	3	4	55	host	parR	False	
gene-PA3126	21	26	53	9	12	120	5	7	10	5	4	77	host	ibpA	False	
gene-PA2755	155	157	68	98	94	143	30	21	24	15	21	40	host	eco	False	
gene-PA1648	16	19	30	19	14	134	4	3	6	0	0	167	host	gene-PA1648	False	
gene-PA0786	3	3	11	1	3	78	0	1	9	3	0	138	host	gene-PA0786	False	
gene-PA1044	24	32	24	13	19	63	4	2	4	3	3	143	host	gene-PA1044	False	
gene-PA1846	136	142	92	141	194	305	41	46	23	25	19	222	host	cti	False	
gene-PA0073	22	7	18	6	10	20	1	2	11	1	1	44	host	gene-PA0073	False	
gene-PPLUZ19_gp49	0	0	0	36	67	13189	5	30	2107	815	522	20680	phage	gp49	False	
gene-PA0273	5	3	25	0	3	71	0	1	20	0	0	171	host	gene-PA0273	False	
gene-PA2285	17	13	32	14	12	178	8	5	21	6	8	136	host	gene-PA2285	False	
gene-PA3944	35	20	84	13	21	113	2	0	18	1	0	222	host	gene-PA3944	False	
gene-PA1765	32	51	21	28	25	166	2	6	17	1	2	236	host	gene-PA1765	False	
gene-PA4788	6	2	14	2	7	102	2	0	15	0	1	185	host	gene-PA4788	False	
gene-PA0100	229	235	218	124	277	332	29	38	29	20	13	145	host	gene-PA0100	False	
gene-PA2319	59	45	44	29	55	203	11	9	22	3	4	169	host	gene-PA2319	False	
gene-PA2877	39	28	19	12	15	142	0	4	11	2	2	301	host	gene-PA2877	False	
gene-PA1749	168	255	75	40	64	136	6	17	10	7	7	33	host	gene-PA1749	False	
gene-PA5166	97	89	40	46	64	243	15	15	21	7	4	406	host	gene-PA5166	False	
gene-PA3217	39	48	51	36	33	224	8	8	37	7	11	218	host	cyaB	False	
gene-PA1358	108	103	31	43	60	83	11	11	13	4	4	135	host	gene-PA1358	False	
gene-PA0339	36	27	14	18	15	94	4	3	12	3	0	183	host	gene-PA0339	False	
gene-PA0052	6	2	14	2	2	189	0	2	9	1	0	374	host	gene-PA0052	False	
gene-PA3086	150	100	16	53	86	155	15	17	8	3	6	225	host	gene-PA3086	False	
gene-PA2149	0	0	3	0	0	31	0	0	4	0	0	98	host	gene-PA2149	False	
gene-PA1968	38	45	9	23	29	35	7	7	2	1	2	31	host	gene-PA1968	False	
gene-PA2323	191	110	118	152	175	274	38	24	28	12	10	285	host	gene-PA2323	False	
gene-PA2862	36	30	45	23	22	204	7	3	22	2	3	240	host	lipA	False	
gene-PA0444	19	26	28	12	16	244	1	9	27	4	2	356	host	gene-PA0444	False	
gene-PA1780	3	5	5	0	3	47	1	1	9	1	2	100	host	nirD	False	
gene-PA0037	16	18	29	5	14	89	1	6	23	5	0	98	host	trpI	False	
gene-PA2004	69	86	62	100	105	157	21	17	25	10	6	252	host	gene-PA2004	False	
gene-PA0284	11	10	16	2	2	128	1	0	15	3	2	108	host	gene-PA0284	False	
gene-PA1796	62	60	25	89	113	124	22	17	17	12	8	167	host	folD	False	
gene-PA3751	125	142	61	153	195	211	28	13	24	5	6	274	host	purT	False	
gene-PA2496	6	6	10	9	11	82	2	2	5	2	1	200	host	gene-PA2496	False	
gene-PA3628	137	150	190	113	151	207	36	29	21	14	3	225	host	gene-PA3628	False	
gene-PA4019	109	96	27	78	108	120	11	18	16	9	4	209	host	gene-PA4019	False	
gene-PA0817	109	87	26	53	107	72	13	11	12	5	3	127	host	gene-PA0817	False	
gene-PA1409	5	5	19	2	11	124	0	0	21	2	0	214	host	aphA	False	
gene-PA5518	97	104	92	97	124	425	14	35	48	12	9	341	host	gene-PA5518	False	
gene-PA2081	12	11	16	14	16	176	1	2	9	1	1	148	host	kynB	False	
gene-PA2042	168	255	85	208	364	215	39	35	33	20	19	112	host	gene-PA2042	False	
gene-PA2782	7	7	12	2	3	68	1	0	9	0	0	126	host	gene-PA2782	False	
gene-PA2987	79	66	25	64	90	67	13	17	12	9	5	85	host	gene-PA2987	False	
gene-PA3538	37	32	45	30	22	273	7	7	24	8	4	375	host	gene-PA3538	False	
gene-PA3431	5	2	11	3	4	100	1	1	11	2	1	79	host	gene-PA3431	False	
gene-PA0605	45	55	38	62	74	307	6	15	43	3	4	165	host	gene-PA0605	False	
gene-PA1997	60	46	41	32	43	205	12	5	13	3	3	357	host	gene-PA1997	False	
gene-PA4835	31	27	15	12	22	198	6	4	29	0	1	326	host	gene-PA4835	False	
gene-PA3963a	12	7	18	2	6	79	3	1	15	0	0	135	host	gene-PA3963a	False	
gene-PA2906	105	85	27	37	51	77	16	27	16	14	5	85	host	gene-PA2906	False	
gene-PA2921	18	15	10	4	6	124	1	1	3	0	2	210	host	gene-PA2921	False	
gene-PA5391	6	5	19	3	1	85	5	3	12	0	3	135	host	gene-PA5391	False	
gene-PA1904	6	22	73	5	58	136	1	10	11	0	0	190	host	phzF2	False	
gene-PA0218	35	18	36	14	19	241	5	4	24	1	2	191	host	gene-PA0218	False	
gene-PA3502	6	12	10	5	12	139	1	3	7	1	0	182	host	gene-PA3502	False	
gene-PA2841	31	21	15	14	32	76	6	8	6	2	0	176	host	gene-PA2841	False	
gene-PA2356	2	1	10	3	3	95	0	0	7	1	0	205	host	msuD	False	
gene-PA2539	59	36	33	90	145	90	16	40	8	15	11	73	host	gene-PA2539	False	
gene-PA2852	92	53	24	26	31	176	11	9	22	2	4	169	host	gene-PA2852	False	
gene-PA4331	58	53	19	13	36	93	3	8	7	3	17	239	host	gene-PA4331	False	
gene-PA3961	164	125	62	81	128	282	20	18	34	13	10	345	host	gene-PA3961	False	
gene-PA4657	91	68	49	54	52	167	10	9	18	8	3	333	host	gene-PA4657	False	
gene-PA3429	15	2	19	3	12	109	2	0	14	1	1	343	host	gene-PA3429	False	
gene-PA1686	60	49	24	34	55	94	6	15	13	2	6	152	host	alkA	False	
gene-PA4701	213	215	133	129	171	314	40	43	25	29	25	311	host	gene-PA4701	False	
gene-PA0657	295	216	82	78	95	327	25	24	41	26	11	380	host	gene-PA0657	False	
gene-PA1423	58	53	41	20	31	169	4	2	21	4	2	267	host	bdlA	False	
gene-PA5381	13	12	17	8	12	59	0	2	10	2	0	108	host	gene-PA5381	False	
gene-PA0256	79	98	62	23	55	267	6	3	25	5	4	185	host	gene-PA0256	False	
gene-PA3947	32	29	65	13	20	321	3	10	26	1	1	137	host	rocR	False	
gene-PA1189	29	32	30	17	20	101	3	4	10	3	1	155	host	gene-PA1189	False	
gene-PA4381	117	140	28	42	88	177	19	14	8	13	11	121	host	gene-PA4381	False	
gene-PA0334	53	48	39	31	60	191	8	12	16	3	2	353	host	gene-PA0334	False	
gene-PA2123	23	22	21	13	24	91	4	5	5	2	1	121	host	gene-PA2123	False	
gene-PA3053	35	26	33	18	28	136	4	7	18	2	5	119	host	gene-PA3053	False	
gene-PA4337	11	12	14	9	11	112	3	5	13	1	1	190	host	gene-PA4337	False	
gene-PA1675	42	47	25	44	45	68	11	12	13	13	7	74	host	gene-PA1675	False	
gene-PA2066	16	15	14	8	14	61	1	3	7	1	3	169	host	gene-PA2066	False	
gene-PA0510	4	1	18	0	2	122	1	0	18	0	1	171	host	gene-PA0510	False	
gene-PA4091	23	32	41	24	22	245	3	4	40	3	3	435	host	hpaA	False	
gene-PA4473	162	113	47	150	232	129	18	27	4	12	11	128	host	gene-PA4473	False	
gene-PA1474	160	107	46	82	113	201	19	17	19	12	7	361	host	gene-PA1474	False	
gene-PA1484	45	64	33	25	63	159	10	10	20	8	6	89	host	gene-PA1484	False	
gene-PA5500	85	59	34	27	42	182	14	7	27	6	7	201	host	znuC	False	
gene-PA3237	8	10	12	5	5	97	0	0	5	1	2	82	host	gene-PA3237	False	
gene-PA0279	17	13	7	6	8	61	1	3	6	1	1	102	host	gene-PA0279	False	
gene-PA3247	77	89	47	97	129	208	20	30	31	9	16	300	host	gene-PA3247	False	
gene-PA4639	83	100	92	55	59	443	17	29	20	17	14	184	host	gene-PA4639	False	
gene-PA3008	87	130	71	100	183	102	34	37	12	13	13	77	host	gene-PA3008	False	
gene-PA1842	67	68	49	38	53	108	9	17	14	9	6	84	host	gene-PA1842	False	
gene-PA4818	4	5	17	0	9	196	1	2	26	2	0	433	host	gene-PA4818	False	
gene-PA2265	16	14	36	19	21	208	3	2	29	1	7	250	host	gene-PA2265	False	
gene-PA3927	12	17	15	8	3	139	1	1	19	0	0	212	host	gene-PA3927	False	
gene-PA3042	32	35	27	29	45	90	13	13	3	2	1	48	host	gene-PA3042	False	
gene-PA1715	303	117	12	233	162	25	40	25	5	5	18	51	host	pscB	False	
gene-PA0115	98	112	43	38	66	190	19	9	16	6	4	308	host	gene-PA0115	False	
gene-PA2283	7	3	19	5	10	152	4	3	19	5	1	210	host	gene-PA2283	False	
gene-PA2505	19	16	20	4	15	137	4	3	21	0	1	84	host	opdT	False	
gene-PA1308	144	148	22	100	136	88	22	23	6	8	9	77	host	gene-PA1308	False	
gene-PA2026	45	35	43	46	103	134	7	7	13	4	2	120	host	gene-PA2026	False	
gene-PA2147	20	11	39	7	9	283	4	2	31	3	3	302	host	katE	False	
gene-PA1209	13	7	20	7	8	65	0	3	13	2	0	141	host	gene-PA1209	False	
gene-PA2378	222	238	78	88	158	232	14	19	20	11	3	435	host	gene-PA2378	False	
gene-PA5087	41	59	88	20	38	342	3	5	43	3	5	357	host	gene-PA5087	False	
gene-PA0360	175	149	78	79	147	255	21	22	36	9	9	280	host	gene-PA0360	False	
gene-PA1065	52	53	126	34	35	65	6	7	5	3	2	111	host	gene-PA1065	False	
gene-PA4713	20	14	17	14	16	140	2	2	17	2	5	110	host	gene-PA4713	False	
gene-PA1892	3	4	23	7	6	101	1	1	8	0	1	148	host	gene-PA1892	False	
gene-PA3423	8	24	31	8	13	269	2	3	28	6	0	162	host	gene-PA3423	False	
gene-PA1639	113	105	41	61	91	128	25	24	11	10	5	186	host	gene-PA1639	False	
gene-PA3403	32	21	20	50	58	81	17	21	13	10	5	74	host	gene-PA3403	False	
gene-PA2179	7	3	17	1	2	126	2	1	14	0	0	182	host	gene-PA2179	False	
gene-PA2867	105	108	144	62	78	150	6	11	24	8	8	364	host	gene-PA2867	False	
gene-PA2665	18	14	28	5	6	147	1	2	19	1	0	201	host	gene-PA2665	False	
gene-PA5525	71	73	47	36	49	136	4	8	19	6	5	168	host	gene-PA5525	False	
gene-PA1575	15	12	10	21	31	67	6	2	11	2	0	86	host	gene-PA1575	False	
gene-PA2340	13	12	28	5	7	143	1	5	21	3	1	162	host	gene-PA2340	False	
gene-PA1504	17	25	17	13	22	87	4	3	13	2	0	76	host	gene-PA1504	False	
gene-PA1410	9	3	9	7	19	147	1	1	14	2	1	160	host	gene-PA1410	False	
gene-PA2339	20	11	18	7	5	91	1	2	14	2	1	147	host	gene-PA2339	False	
gene-PA3517	9	12	20	9	13	207	1	1	22	0	2	322	host	gene-PA3517	False	
gene-PA4399	122	63	36	55	63	153	8	13	15	4	6	283	host	gene-PA4399	False	
gene-PA2182	5	4	9	1	2	50	1	0	2	0	1	29	host	gene-PA2182	False	
gene-PA1971	66	45	38	30	44	190	7	4	18	4	1	225	host	braZ	False	
gene-PA1864	0	0	4	0	1	47	0	1	4	0	2	81	host	gene-PA1864	False	
gene-PA3739	59	55	43	43	48	236	17	20	44	4	3	195	host	gene-PA3739	False	
gene-PA2016	104	153	114	43	71	117	0	6	15	0	1	104	host	liuR	False	
gene-PA4925	38	45	27	15	29	198	8	8	25	2	4	159	host	gene-PA4925	False	
gene-PA1526	82	63	52	74	98	130	17	18	15	10	5	51	host	gene-PA1526	False	
gene-PA4534	187	191	62	84	116	192	23	41	21	8	13	123	host	gene-PA4534	False	
